	annotater_id	table_id	hypothesis	label
0	GW0	T1769	""""" ""ইন ৰেইনবোছ"" ""দহ বছৰৰ পূৰ্বে মুকলি কৰা হৈছিল।"""	E
1	GW0	T1769	নাইজেল গডৰিচে কেৱল এটাহে এলবাম প্ৰযোজনা কৰিছে।	N
2	GW0	T1769	ৰেইনবোৰ ৪০ মিনিটতকৈ কম দৈৰ্ঘ্যত থাকে।	C
3	GW1	T1769	ৰেইনবোত ৰেকৰ্ড কৰিবলৈ দুবছৰতকৈ অধিক সময় লাগিল।	E
4	GW1	T1769	ৰেইনবোৰ (Rainbows) শিল্পৰ পপ শৈলীৰ ভিতৰত প্ৰকৃততে শিলৰ শৈলীতকৈ অধিক।	N
5	GW1	T1769	""""" ""ইন ৰেইনবোৰ"" ""(Rainbows) ৰ দৌৰিবলৈ সময় প্ৰায় এক ঘন্টা সময় লাগে।"""	C
6	GW2	T1769	""""" ""ইন ৰেইনবোছ"" ""হেলোৱেনৰ কেইবাটাও সপ্তাহ আগতে মুক্তি পাইছিল।"""	E
7	GW2	T1769	ৰেইনবোৰ 'ত ১০তকৈ অধিক ট্ৰেক আছিল।	N
8	GW2	T1769	৬০ দিনতকৈ কম সময়ৰ ভিতৰত ৰেইনবোৰ লিপিবদ্ধ কৰা হৈছিল।	C
9	GW0	T1	ব্ৰুকলিনৰ দুঘণ্টাৰ ভিতৰত দৌৰিবলৈ সময় আছে।	E
10	GW0	T1	২০১৫ চনত ব্ৰুকলিন সৰ্বাধিক আয় কৰা ছবি আছিল।	N
11	GW0	T1	ব্ৰুকলিনে বক্স অফিচত ৬০ মিলিয়ন ডলাৰতকৈ কম আয় কৰিছিল।	C
12	GW1	T1	ব্ৰুকলিনে বক্স অফিচত ইয়াৰ বাজেটতকৈ প্ৰায় ৫০ মিলিয়ন অধিক আয় কৰিছিল।	E
13	GW1	T1	আমান্ডা পোছেৰ তুলনাত ফিনোলা ড্ৱেৰে ব্ৰুকলিন প্ৰস্তুত কৰিবলৈ অধিক প্ৰচেষ্টা কৰিছিল।	N
14	GW1	T1	ব্ৰুকলিনৰ দৌৰিবলৈ দুঘণ্টাতকৈ অধিক সময় লাগে।	C
15	GW3	T1	ব্ৰুকলিন (ইংৰাজীঃ Brooklyn) আছিল এক ইংৰাজী চলচ্চিত্ৰ।	E
16	GW3	T1	ব্ৰুকলিন কেৱল তিনিটা দেশত মুকলি কৰা হৈছিল।	N
17	GW3	T1	ব্রুকলিনৰ ১২০ মিনিটৰ সময় আছে।	C
18	GW5	T3	কেঁচা হেজেলনাটত প্ৰতি সেৱনত ৫ গ্ৰামতকৈ কম চিনিৰ থাকে।	E
19	GW5	T3	বেয়া চিনিতকৈ বেয়া চিনিতকৈ বেছি ভাল চিনিতকৈ বেয়া চিনিতকৈ বেছি ভাল চিনিতকৈ বেয়া চিনিতকৈ বেয়া চিনিতকৈ বেছি ভাল চিনিতকৈ বেয়া চিনিতকৈ বেয়া চিনিতকৈ বেয়া চিনিতকৈ বেছি ভাল চিনিতকৈ বেয়া চিনিতকৈ বেছি বেয়া চিনিতকৈ বেয়া চিনিতকৈ বেয়া চিনিতকৈ বেছি।	N
20	GW5	T3	কেঁচা হেজেলনাটত প্ৰতি সেৱনত ৫ গ্ৰামতকৈ অধিক চিনিৰ থাকে।	C
21	GW2	T3	আমেৰিকা যুক্তৰাষ্ট্ৰৰ উন্নয়ন পৰিষদৰ মতে ৪০০ গ্ৰাম ফাইল্বাৰ্টত এদিনে মানুহৰ প্ৰয়োজনীয় সকলো জিংক থাকে।	E
22	GW2	T3	হেজেলনাট ভাজাৰ সময়ত ভিটামিন সি হেৰুৱাই যায়।	N
23	GW2	T3	নট্ৰ 'টিত মেদ কম থাকে।	C
24	GW4	T3	হাজেলনাট নামৰ এটা বোৰাত ৬০০ কেলোৰতকৈ অধিক কেলোৰী থাকে।	E
25	GW4	T3	হেজেলনাট সেৱনত উচ্চ পৰিমাণে চর্বি থাকে।	N
26	GW4	T3	হেজেলনাট নামৰ এটা সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু বোৰ সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰু সৰ	C
27	GW0	T5	চাৰ্লচ ফ্ৰান্সিছ জেনকিন্সক একাধিক পদক প্ৰদান কৰা হৈছে।	E
28	GW0	T5	চাৰ্লচ ফ্ৰানছিছ জেনকিনছ তেওঁৰ জীৱনৰ বেছিভাগ সময় ওহাইযোত অতিবাহিত কৰিছিল।	N
29	GW0	T5	চাৰ্লচ ফ্ৰান্সিছ জেনকিন্সে তেওঁৰ জীৱনত কেতিয়াও কোনো চলচিত্ৰ নাছিল।	C
30	GW2	T5	চাৰ্লচ ফ্ৰান্সিচ জেনকিন্সৰ জন্ম ১৯ শতিকাত হৈছিল।	E
31	GW2	T5	চাৰ্ল ফ্ৰান্সিচ জেনকিন্স ২১ বছৰৰ পূৰ্বে ওহাইযোত বাস কৰিছিল।	N
32	GW2	T5	চাৰ্লচ ফ্ৰান্সিছ জেনকিন্সে কেতিয়াও পদক জয় কৰা নাই।	C
33	GW1	T5	চাৰ্লচ ফ্ৰান্সিছ জেনকিন্সক দুটা ভিন্ন শতিকাত তেওঁৰ কৰ্মৰ বাবে পুৰস্কাৰ প্ৰদান কৰা হয়।	E
34	GW1	T5	চাৰ্লচ ফ্ৰান্সিছ জেনকিনছ পেটেন্টবোৰ বেছিভাৱে ইলেক্ট্ৰ 'নিকছৰ সৈতে জড়িত আছিল।	N
