	annotater_id	table_id	hypothesis	label
0	GW0	T1769	দশ বছরেরও বেশি সময় আগে ইন রেইনবো মুক্তি পায়।	E
1	GW0	T1769	নাইজেল গডরিচ শুধুমাত্র একটি অ্যালবাম প্রযোজনা করেছেন।	N
2	GW0	T1769	রংধনুর দৈর্ঘ্য ৪০ মিনিটেরও কম।	C
3	GW1	T1769	দুই বছরেরও বেশি সময় লেগেছিল রেইনবো রেকর্ড করতে।	E
4	GW1	T1769	রেইনবোতে শিল্প রক এর চেয়ে শিল্প পপ ঘরানার মধ্যে বেশি পড়ে।	N
5	GW1	T1769	""""" ""ইন রেইনবো"" ""এর দৌড়ানোর সময় এক ঘন্টার বেশি।"""	C
6	GW2	T1769	""""" ""ইন রেইনবো"" ""হ্যালোইনের কয়েক সপ্তাহ আগে মুক্তি পায়।"""	E
7	GW2	T1769	রেইনবোতে ১০ টিরও বেশি ট্র্যাক ছিল।	N
8	GW2	T1769	৬০ দিনেরও কম সময়ের মধ্যে রেইনবো রেকর্ড করা হয়েছিল।	C
9	GW0	T1	ব্রুকলিনের দৌড়ানোর সময় দুই ঘণ্টার কম।	E
10	GW0	T1	২০১৫ সালের সর্বোচ্চ আয়কারী চলচ্চিত্র ছিল ব্রুকলিন।	N
11	GW0	T1	ব্রুকলিন বক্স অফিসে ৬০ মিলিয়ন ডলারেরও কম আয় করে।	C
12	GW1	T1	ব্রুকলিন বক্স অফিসে এর বাজেটের চেয়ে প্রায় ৫০ মিলিয়ন বেশি আয় করেছিল।	E
13	GW1	T1	আমান্ডা পোসির চেয়ে ফিনোলা ডয়ার ব্রুকলিনের প্রযোজনায় বেশি কাজ করেছেন।	N
14	GW1	T1	ব্রুকলিনের দৌড়ানোর সময় দুই ঘন্টারও বেশি।	C
15	GW3	T1	ব্রুকলিন একটি ইংরেজি চলচ্চিত্র ছিল।	E
16	GW3	T1	ব্রুকলিন শুধুমাত্র তিনটি দেশে মুক্তি পেয়েছিল।	N
17	GW3	T1	ব্রুকলিনের রান টাইম ১২০ মিনিট।	C
18	GW5	T3	কাঁচা হেজেলবাদামে প্রতি পরিবেশনে ৫ গ্রাম চিনির কম থাকে।	E
19	GW5	T3	কাঁচা হেজেলবাদাম খারাপ চিনির চেয়ে বেশি ভাল।	N
20	GW5	T3	কাঁচা হেজেলবাদামে প্রতি পরিবেশনে ৫ গ্রাম চিনির বেশি থাকে।	C
21	GW2	T3	ইউএসডিএ অনুযায়ী, ৪০০ গ্রাম ফিলবার্টে একজন ব্যক্তির একদিনে প্রয়োজনীয় সমস্ত দস্তা থাকে।	E
22	GW2	T3	বাদাম ভাজা হলে ভিটামিন সি কমে যায়।	N
23	GW2	T3	বাদামে চর্বির পরিমাণ কম থাকে।	C
24	GW4	T3	এক ব্যাগ হেজেলনাটে ৬০০ ক্যালরির বেশি থাকে।	E
25	GW4	T3	হেইজেল বাদাম পরিবেশন করার সময় এতে প্রচুর পরিমাণে চর্বি থাকে।	N
26	GW4	T3	এক ব্যাগ হ্যাজেলনাট খুব মিষ্টি হওয়ার জন্য পরিচিত।	C
27	GW0	T5	চার্লস ফ্রান্সিস জেনকিন্স একাধিক পদক পেয়েছেন।	E
28	GW0	T5	চার্লস ফ্রান্সিস জেনকিন্স তার জীবনের অধিকাংশ সময় ওহাইওতে অতিবাহিত করেন।	N
29	GW0	T5	চার্লস ফ্রান্সিস জেনকিন্স তাঁর জীবদ্দশায় কোনো চলচ্চিত্র দেখেননি।	C
30	GW2	T5	চার্লস ফ্রান্সিস জেনকিন্স ১৯শ শতাব্দীতে জন্মগ্রহণ করেন।	E
31	GW2	T5	চার্লস ফ্রান্সিস জেনকিন্স ২১ বছর বয়স পর্যন্ত ওহাইওতে বসবাস করেন।	N
32	GW2	T5	চার্লস ফ্রান্সিস জেনকিন্স কখনও কোন পদক জেতেননি।	C
33	GW1	T5	চার্লস ফ্রান্সিস জেনকিন্স দুটি ভিন্ন শতাব্দীতে তার কাজের জন্য পুরস্কার পেয়েছিলেন।	E
34	GW1	T5	চার্লস ফ্রান্সিস জেনকিন্সের পেটেন্টগুলি বেশিরভাগ ইলেকট্রনিক্সের সাথে সম্পর্কিত ছিল।	N
35	GW1	T5	চার্লস ফ্রান্সিস জেনকিন্স ১৯৩৪ সালের শরৎকালে মারা যান।	C
36	GW1	T6	কানসাস ৪৫ বছরেরও বেশি সময় ধরে একটি ব্যান্ড হিসেবে সক্রিয় রয়েছে।	E
37	GW1	T6	ক্যানসাসের ব্যান্ড সদস্যরা ইনসাইড আউটের চেয়ে এমসিএ-র সাথে লেবেল হিসেবে বেশি সুখী ছিল।	N
