	annotater_id	table_id	hypothesis	label
0	GW0	T1769	इन रेनबो को दस साल पहले रिलीज किया गया था।	E
1	GW0	T1769	नाइजेल गॉडरिच ने केवल एक एल्बम का निर्माण किया है।	N
2	GW0	T1769	रेनबो की लंबाई 40 मिनट से भी कम होती है।	C
3	GW1	T1769	इंद्रधनुष में रिकॉर्ड करने के लिए दो साल से अधिक लग गए।	E
4	GW1	T1769	रेनबो में कला रॉक की तुलना में अधिक कला पॉप शैली में आता है।	N
5	GW1	T1769	इन रेनबो के चलने का समय एक घंटे से अधिक है।	C
6	GW2	T1769	इन रेनबो को हैलोवीन से कुछ सप्ताह पहले जारी किया गया था।	E
7	GW2	T1769	रेनबो में 10 से अधिक ट्रैक थे।	N
8	GW2	T1769	रेनबो में 60 दिनों से भी कम समय में रिकॉर्ड किया गया था।	C
9	GW0	T1	ब्रुकलिन में दो घंटे से कम का समय है।	E
10	GW0	T1	ब्रुकलिन 2015 की सबसे अधिक कमाई करने वाली फिल्म थी।	N
11	GW0	T1	ब्रुकलिन ने बॉक्स ऑफिस पर 60 मिलियन डॉलर से भी कम की कमाई की।	C
12	GW1	T1	ब्रुकलिन ने बॉक्स ऑफिस पर अपने बजट की तुलना में लगभग 50 मिलियन अधिक कमाई की।	E
13	GW1	T1	फिनोला ड्वायर ने ब्रुकलिन के निर्माण के लिए अमांडा पोसी से अधिक काम किया।	N
14	GW1	T1	ब्रुकलिन में दो घंटे से अधिक का समय है।	C
15	GW3	T1	ब्रुकलिन एक अंग्रेजी फिल्म थी।	E
16	GW3	T1	ब्रुकलिन को केवल तीन देशों में रिलीज़ किया गया था।	N
17	GW3	T1	ब्रुकलिन में 120 मिनट का रन-टाइम है।	C
18	GW5	T3	रॉ हेज़लनट्स में प्रति सर्विस 5 ग्राम से भी कम शुगर होती है।	E
19	GW5	T3	रॉ हेज़लनट्स में खराब शुगर की तुलना में ज्यादा अच्छा होता है।	N
20	GW5	T3	रॉ हेज़लनट्स में प्रति सर्विंग 5 ग्राम से अधिक चीनी होती है।	C
