	annotater_id	table_id	hypothesis	label
0	GW0	T1769	ಇನ್ ರೈನ್ಬೋಸ್ ಹತ್ತು ವರ್ಷಗಳ ಹಿಂದೆ ಬಿಡುಗಡೆಯಾಯಿತು.	E
1	GW0	T1769	ನಿಗೆಲ್ ಗಾಡ್ರಿಚ್ ಕೇವಲ ಒಂದು ಆಲ್ಬಂ ಮಾತ್ರ ನಿರ್ಮಿಸಿದ್ದಾರೆ.	N
2	GW0	T1769	ಮಳೆಬಿಲ್ಲುಗಳು 40 ನಿಮಿಷಗಳಿಗಿಂತ ಕಡಿಮೆ ಉದ್ದವಿರುತ್ತವೆ.	C
3	GW1	T1769	ಮಳೆಬಿಲ್ಲಿನ ರೆಕಾರ್ಡ್ ಮಾಡಲು ಎರಡು ವರ್ಷಗಳಿಗಿಂತಲೂ ಹೆಚ್ಚು ಸಮಯ ಹಿಡಿಯಿತು.	E
4	GW1	T1769	ಮಳೆಬಿಲ್ಲುಗಳು ಆರ್ಟ್ ರಾಕ್ ಶೈಲಿಯಲ್ಲಿ ಬೀಳುವುದಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿ ಆರ್ಟ್ ಪಾಪ್ ಶೈಲಿಯಲ್ಲಿ ಬೀಳುತ್ತವೆ.	N
5	GW1	T1769	ಮಳೆಬಿಲ್ಲಿನ ಓಟದ ಸಮಯ ಒಂದು ಗಂಟೆಗಿಂತ ಹೆಚ್ಚು.	C
6	GW2	T1769	ಇನ್ ರೈನ್ಬೋಸ್ ಹ್ಯಾಲೋವೀನ್ಗೆ ಕೆಲವು ವಾರಗಳ ಮೊದಲು ಬಿಡುಗಡೆಯಾಯಿತು.	E
7	GW2	T1769	ಮಳೆಬಿಲ್ಲುಗಳಲ್ಲಿ 10ಕ್ಕೂ ಹೆಚ್ಚು ಟ್ರ್ಯಾಕ್ಗಳಿದ್ದವು.	N
8	GW2	T1769	ಮಳೆಬಿಲ್ಲುಗಳು 60 ದಿನಗಳಿಗಿಂತ ಕಡಿಮೆ ಅವಧಿಯಲ್ಲಿ ದಾಖಲಾಯಿತು.	C
9	GW0	T1	ಬ್ರೂಕ್ಲಿನ್ ಎರಡು ಗಂಟೆಗಳಿಗಿಂತ ಕಡಿಮೆ ಸಮಯವನ್ನು ಹೊಂದಿರುತ್ತದೆ.	E
10	GW0	T1	ಬ್ರೂಕ್ಲಿನ್ 2015ರ ಅತಿ ಹೆಚ್ಚು ಗಳಿಕೆಯ ಚಲನಚಿತ್ರವಾಗಿತ್ತು.	N
11	GW0	T1	ಬ್ರೂಕ್ಲಿನ್ ಗಲ್ಲಾಪೆಟ್ಟಿಗೆಯಲ್ಲಿ 60 ದಶಲಕ್ಷಕ್ಕಿಂತಲೂ ಕಡಿಮೆ ಮೊತ್ತವನ್ನು ಗಳಿಸಿತು.	C
12	GW1	T1	ಬ್ರೂಕ್ಲಿನ್ ಗಲ್ಲಾಪೆಟ್ಟಿಗೆಯಲ್ಲಿ ಅದರ ಬಜೆಟ್ಗಿಂತ ಸುಮಾರು 50 ಮಿಲಿಯನ್ ಹೆಚ್ಚು ಗಳಿಸಿತು.	E
13	GW1	T1	ಫಿನೋಲಾ ಡ್ವೈರ್ ಬ್ರೂಕ್ಲಿನ್ ಅನ್ನು ತಯಾರಿಸಲು ಅಮಾಂಡಾ ಪೋಸೆಗಿಂತ ಹೆಚ್ಚಿನದನ್ನು ಮಾಡಿದರು.	N
