	annotater_id	table_id	hypothesis	label
0	GW0	T1769	दहा वर्षांपूर्वी हा ग्रंथ प्रकाशित झाला होता.	E
1	GW0	T1769	निगेल गॉडरिचने फक्त एकच अल्बम तयार केला आहे.	N
2	GW0	T1769	या रेनबो ४० मिनिटांपेक्षा कमी लांबीच्या असतात.	C
3	GW1	T1769	दोन वर्षांच्या कालावधीत त्यांनी रेकॉर्डब्रेक कामगिरी केली.	E
4	GW1	T1769	रेनबो मध्ये कला रॉकपेक्षा कला पॉप शैलीत अधिक पडते.	N
5	GW1	T1769	पावसाळ्यात पावसाळ्यात पावसाळ्यात एक तास पाऊस पडतो.	C
6	GW2	T1769	हॅलोवीनच्या काही आठवड्यांपूर्वी इन रेनबोज रिलीज करण्यात आला होता.	E
7	GW2	T1769	येथे १० पेक्षा अधिक रेल्वे गाड्या थांबतात.	N
8	GW2	T1769	६० दिवसांच्या कालावधीत ही स्पर्धा भरवण्यात आली.	C
9	GW0	T1	ब्रुकलिनला दोन तासांपेक्षा कमी वेळ चालतो.	E
10	GW0	T1	२०१५ साली प्रदर्शित झालेला हा चित्रपट जगातील सर्वाधिक कमाई करणारा चित्रपट आहे.	N
11	GW0	T1	ब्रुकलिनने बॉक्स ऑफिसवर ६० दशलक्ष डॉलर्सपेक्षा कमी कमाई केली.	C
12	GW1	T1	ब्रुकलिनने आपल्या अंदाजपत्रकापेक्षा बॉक्स ऑफिसवर सुमारे ५० दशलक्ष डॉलर्सची कमाई केली.	E
13	GW1	T1	फिनोला ड्वायर यांनी ब्रुकलिनची निर्मिती अमांडा पोसेपेक्षा जास्त केली.	N
14	GW1	T1	ब्रुकलिनला दोन तासांपेक्षा जास्त वेळ चालतो.	C
15	GW3	T1	ब्रुकलिन हा एक इंग्रजी चित्रपट होता.	E
16	GW3	T1	ब्रुकलिनला फक्त तीन देशांमध्ये रिलीज करण्यात आले होते.	N
17	GW3	T1	ब्रुकलिनला १२० मिनिटांचा कालावधी आहे.	C
