	annotater_id	table_id	hypothesis	label
0	GW0	T1769	ਇਨ ਰੇਨਬੋ ਦਸ ਸਾਲ ਪਹਿਲਾਂ ਰਿਲੀਜ਼ ਕੀਤੀ ਗਈ ਸੀ।	E
1	GW0	T1769	ਨਾਈਜੇਲ ਗੋਡਰਿਚ ਨੇ ਸਿਰਫ ਇੱਕ ਐਲਬਮ ਤਿਆਰ ਕੀਤੀ ਹੈ।	N
2	GW0	T1769	ਰੇਨਬੋ ਦੀ ਲੰਬਾਈ 40 ਮਿੰਟ ਤੋਂ ਵੀ ਘੱਟ ਹੁੰਦੀ ਹੈ।	C
3	GW1	T1769	ਸਤਰੰਗੀ ਧੱਬਿਆਂ ਵਿੱਚ ਰਿਕਾਰਡ ਕਰਨ ਵਿੱਚ ਦੋ ਸਾਲ ਤੋਂ ਵੱਧ ਦਾ ਸਮਾਂ ਲੱਗਾ।	E
4	GW1	T1769	ਰੇਨਬੋ ਵਿੱਚ ਕਲਾ ਪੌਪ ਸ਼ੈਲੀ ਵਿੱਚ ਆਉਂਦੀ ਹੈ ਜਿੰਨੀ ਕਿ ਇਹ ਕਲਾ ਰੌਕ ਕਰਦੀ ਹੈ।	N
5	GW1	T1769	ਸਤਰੰਗੀ ਧੁੰਦ ਦਾ ਸਮਾਂ ਇੱਕ ਘੰਟੇ ਤੋਂ ਵੱਧ ਹੁੰਦਾ ਹੈ।	C
6	GW2	T1769	ਇਨ ਰੇਨਬੋ ਨੂੰ ਹੈਲੋਵੀਨ ਤੋਂ ਕੁਝ ਹਫ਼ਤੇ ਪਹਿਲਾਂ ਰਿਲੀਜ਼ ਕੀਤਾ ਗਿਆ ਸੀ।	E
7	GW2	T1769	ਰੇਨਬੋ ਵਿੱਚ 10 ਤੋਂ ਵੱਧ ਟਰੈਕ ਸਨ।	N
8	GW2	T1769	ਰੇਨਬੋ ਵਿੱਚ 60 ਦਿਨਾਂ ਤੋਂ ਵੀ ਘੱਟ ਸਮੇਂ ਵਿੱਚ ਰਿਕਾਰਡ ਕੀਤਾ ਗਿਆ ਸੀ।	C
9	GW0	T1	ਬਰੁਕਲਿਨ ਵਿਚ ਦੋ ਘੰਟਿਆਂ ਤੋਂ ਘੱਟ ਸਮਾਂ ਚੱਲਦਾ ਹੈ।	E
10	GW0	T1	ਬਰੁਕਲਿਨ 2015 ਦੀ ਸਭ ਤੋਂ ਵੱਧ ਕਮਾਈ ਕਰਨ ਵਾਲੀ ਫਿਲਮ ਸੀ।	N
11	GW0	T1	ਬਰੁਕਲਿਨ ਨੇ ਬਾਕਸ ਆਫਿਸ 'ਤੇ 60 ਮਿਲੀਅਨ ਡਾਲਰ ਤੋਂ ਵੀ ਘੱਟ ਦੀ ਕਮਾਈ ਕੀਤੀ।	C
12	GW1	T1	ਬਰੁਕਲਿਨ ਨੇ ਬਾਕਸ ਆਫਿਸ 'ਤੇ ਇਸ ਦੇ ਬਜਟ ਨਾਲੋਂ ਲਗਭਗ 50 ਮਿਲੀਅਨ ਵੱਧ ਕਮਾਈ ਕੀਤੀ।	E
13	GW1	T1	ਫਿਨੋਲਾ ਡਵੀਅਰ ਨੇ ਬਰੁਕਲਿਨ ਵਿਚ ਅਮਾਂਡਾ ਪੋਸੀ ਨਾਲੋਂ ਜ਼ਿਆਦਾ ਕੰਮ ਕੀਤਾ।	N
14	GW1	T1	ਬਰੁਕਲਿਨ ਦਾ ਦੌੜਨ ਦਾ ਸਮਾਂ ਦੋ ਘੰਟਿਆਂ ਤੋਂ ਵੱਧ ਹੈ।	C
15	GW3	T1	ਬਰੁਕਲਿਨ ਇੱਕ ਅੰਗਰੇਜ਼ੀ ਫ਼ਿਲਮ ਸੀ।	E
16	GW3	T1	ਬਰੁਕਲਿਨ ਨੂੰ ਸਿਰਫ਼ ਤਿੰਨ ਦੇਸ਼ਾਂ ਵਿਚ ਰਿਲੀਜ਼ ਕੀਤਾ ਗਿਆ ਸੀ।	N
17	GW3	T1	ਬਰੁਕਲਿਨ ਕੋਲ 120 ਮਿੰਟ ਦਾ ਰਨ-ਟਾਈਮ ਹੈ.	C
18	GW5	T3	ਕੱਚੇ ਹੈਜ਼ਲਨਟ 'ਚ ਪ੍ਰਤੀ ਸੇਵਾ' ਚ 5 ਗ੍ਰਾਮ ਤੋਂ ਘੱਟ ਖੰਡ ਹੁੰਦੀ ਹੈ।	E
19	GW5	T3	ਕੱਚੇ ਹੈਜ਼ਲਨਟ ਵਿੱਚ ਮਾੜੀ ਸ਼ੂਗਰ ਨਾਲੋਂ ਜ਼ਿਆਦਾ ਚੰਗੀ ਮਾਤਰਾ ਵਿੱਚ ਹੁੰਦਾ ਹੈ।	N
20	GW5	T3	ਕੱਚੇ ਹੈਜ਼ਲਨਟ 'ਚ ਪ੍ਰਤੀ ਸੇਵਾ' ਚ 5 ਗ੍ਰਾਮ ਤੋਂ ਜ਼ਿਆਦਾ ਖੰਡ ਹੁੰਦੀ ਹੈ।	C
21	GW2	T3	ਯੂਐਸਡੀਏ ਦੇ ਅਨੁਸਾਰ 400 ਗ੍ਰਾਮ ਫਾਈਲਬਰਟ ਵਿੱਚ ਇੱਕ ਵਿਅਕਤੀ ਨੂੰ ਇੱਕ ਦਿਨ ਵਿੱਚ ਲੋੜੀਂਦੇ ਸਾਰੇ ਜ਼ਿੰਕ ਹੁੰਦੇ ਹਨ।	E
22	GW2	T3	ਮੂੰਗਫਲੀ ਨੂੰ ਭੁੰਨਣ ਨਾਲ ਵਿਟਾਮਿਨ ਸੀ ਦੀ ਕਮੀ ਹੋ ਜਾਂਦੀ ਹੈ।	N
23	GW2	T3	ਖਰਬੂਜੇ 'ਚ ਫੈਟ ਘੱਟ ਹੁੰਦਾ ਹੈ।	C
24	GW4	T3	ਇਕ ਬੋਰੀ ਵਿਚ 600 ਕੈਲੋਰੀ ਹੁੰਦੀ ਹੈ।	E
25	GW4	T3	ਹੈਜ਼ਲਨਟ ਦੀ ਸੇਵਾ ਵਿੱਚ ਚਰਬੀ ਦੀ ਉੱਚ ਮਾਤਰਾ ਹੁੰਦੀ ਹੈ.	N
26	GW4	T3	ਹੈਜ਼ਲਨਟ ਦਾ ਇਕ ਬੈਗ ਬਹੁਤ ਮਿੱਠਾ ਹੋਣ ਲਈ ਜਾਣਿਆ ਜਾਂਦਾ ਹੈ।	C
27	GW0	T5	ਚਾਰਲਸ ਫਰਾਂਸਿਸ ਜੇਨਕਿੰਸ ਨੂੰ ਇੱਕ ਤੋਂ ਵੱਧ ਮੈਡਲ ਦਿੱਤੇ ਗਏ ਹਨ।	E
28	GW0	T5	ਚਾਰਲਸ ਫਰਾਂਸਿਸ ਜੇਨਕਿੰਸ ਨੇ ਆਪਣਾ ਜ਼ਿਆਦਾਤਰ ਜੀਵਨ ਓਹੀਓ ਵਿੱਚ ਬਿਤਾਇਆ।	N
29	GW0	T5	ਚਾਰਲਸ ਫਰਾਂਸਿਸ ਜੇਨਕਿੰਸ ਨੇ ਆਪਣੇ ਜੀਵਨ ਵਿੱਚ ਕਦੇ ਵੀ ਇੱਕ ਮੋਸ਼ਨ ਫਿਲਮ ਨਹੀਂ ਵੇਖੀ.	C
30	GW2	T5	ਚਾਰਲਸ ਫ਼ਰਾਂਸਿਸ ਜੇਨਕਿੰਸ ਦਾ ਜਨਮ 19ਵੀਂ ਸਦੀ ਵਿਚ ਹੋਇਆ ਸੀ।	E
31	GW2	T5	ਚਾਰਲਸ ਫਰਾਂਸਿਸ ਜੇਨਕਿੰਸ 21 ਸਾਲਾਂ ਦੀ ਉਮਰ ਤੱਕ ਓਹੀਓ ਵਿੱਚ ਰਿਹਾ।	N
32	GW2	T5	ਚਾਰਲਸ ਫਰਾਂਸਿਸ ਜੇਨਕਿੰਸ ਨੇ ਕਦੇ ਵੀ ਕੋਈ ਮੈਡਲ ਨਹੀਂ ਜਿੱਤਿਆ।	C
33	GW1	T5	ਚਾਰਲਸ ਫ੍ਰਾਂਸਿਸ ਜੇਨਕਿੰਸ ਨੂੰ ਦੋ ਵੱਖ-ਵੱਖ ਸਦੀਆਂ ਵਿੱਚ ਉਨ੍ਹਾਂ ਦੇ ਕੰਮ ਲਈ ਪੁਰਸਕਾਰ ਮਿਲਿਆ।	E
34	GW1	T5	ਚਾਰਲਸ ਫ੍ਰਾਂਸਿਸ ਜੇਨਕਿੰਸ ਦੇ ਪੇਟੈਂਟ ਜ਼ਿਆਦਾਤਰ ਇਲੈਕਟ੍ਰਾਨਿਕਸ ਨਾਲ ਸਬੰਧਤ ਸਨ।	N
35	GW1	T5	ਚਾਰਲਸ ਫਰਾਂਸਿਸ ਜੇਨਕਿੰਸ ਦੀ 1934 ਦੇ ਪਤਝੜ ਵਿੱਚ ਮੌਤ ਹੋ ਗਈ।	C
36	GW1	T6	ਕੰਸਾਸ 45 ਸਾਲਾਂ ਤੋਂ ਇੱਕ ਬੈਂਡ ਵਜੋਂ ਸਰਗਰਮ ਰਿਹਾ ਹੈ।	E
37	GW1	T6	ਕੰਸਾਸ ਦੇ ਬੈਂਡ ਦੇ ਮੈਂਬਰ ਇਨਸਾਈਡ ਆਉਟ ਨਾਲੋਂ ਐਮਸੀਏ ਦੇ ਲੇਬਲ ਨਾਲ ਖੁਸ਼ ਸਨ।	N
38	GW1	T6	ਕੰਸਾਸ ਨੇ ਚਾਰ ਤੋਂ ਵੱਧ ਰਿਕਾਰਡ ਲੇਬਲ 'ਤੇ ਸੰਗੀਤ ਬਣਾਇਆ ਹੈ।	C
39	GW6	T6	ਕੰਸਾਸ ਨੂੰ ਕਈ ਲੇਬਲ 'ਤੇ ਦਸਤਖਤ ਕੀਤੇ ਗਏ ਹਨ।	E
40	GW6	T6	ਕੰਸਾਸ ਵਰਤਮਾਨ ਵਿੱਚ ਇਨਸਾਈਡ ਆਉਟ ਲੇਬਲ ਉੱਤੇ ਦਸਤਖਤ ਕੀਤੇ ਗਏ ਹਨ।	N
41	GW6	T6	ਕੰਸਾਸ ਨੇ ਸੱਤਰ ਦੇ ਦਹਾਕੇ ਤੋਂ ਪਹਿਲਾਂ ਗਤੀਵਿਧੀਆਂ ਸ਼ੁਰੂ ਕੀਤੀਆਂ।	C
42	GW7	T6	ਉਹ ਹਾਲੇ ਵੀ ਇਕੱਠੇ ਹਨ.	E
43	GW7	T6	ਉਨ੍ਹਾਂ ਨੇ ਹਾਲ ਹੀ 'ਚ ਇਕ ਐਲਬਮ ਬਣਾਈ ਹੈ।	N
44	GW7	T6	ਉਹ ਟੈਕਸਾਸ ਤੋਂ ਹਨ.	C
45	GW0	T6	ਕੰਸਾਸ 30 ਤੋਂ ਵੱਧ ਸਾਲਾਂ ਤੋਂ ਸਰਗਰਮ ਰਿਹਾ ਹੈ।	E
46	GW0	T6	ਕੰਸਾਸ ਬੈਂਡ ਨੇ ਆਪਣੇ ਜ਼ਿਆਦਾਤਰ ਸੰਗੀਤ ਨੂੰ ਕੰਸਾਸ ਵਿੱਚ ਰਿਕਾਰਡ ਕੀਤਾ।	N
47	GW0	T6	ਕੰਸਾਸ ਦੀ ਸਥਾਪਨਾ ਅਮਰੀਕਾ ਦੇ ਪੱਛਮੀ ਤੱਟ 'ਤੇ ਕੀਤੀ ਗਈ ਸੀ।	C
48	GW3	T7	ਫਲਿਕਰ 2017 ਦੀ ਪਤਝੜ ਵਿਚ ਰਿਲੀਜ਼ ਕੀਤੀ ਗਈ ਸੀ	E
49	GW3	T7	ਫਲਿਕਰ ਲੰਡਨ ਅਤੇ ਅਮਰੀਕਾ ਵਿਚ ਰਿਲੀਜ਼ ਕੀਤੀ ਗਈ ਸੀ	N
50	GW3	T7	ਫਲਿਕਰ ਇੱਕ ਮਲਟੀ-ਸ਼ੈਲੀ ਐਲਬਮ ਸੀ ਜਿਸ ਵਿੱਚ ਰੌਕ, ਪੌਪ, ਜੈਜ਼ ਅਤੇ ਹੋਰ ਸ਼ੈਲੀਆਂ ਦੇ ਗਾਣੇ ਸਨ	C
51	GW1	T7	ਫਲਿਕਰ ਨੂੰ 2017 ਦੇ ਪਤਝੜ ਵਿੱਚ ਰਿਲੀਜ਼ ਕੀਤਾ ਗਿਆ ਸੀ।	E
52	GW1	T7	ਫਲਿਕਰ 'ਤੇ ਵਧੇਰੇ ਰਿਕਾਰਡਿੰਗ ਬਲੈਕਬਰਡ ਸਟੂਡੀਓ ਨਾਲੋਂ ਇਕੋ ਸਟੂਡੀਓ ਵਿਖੇ ਕੀਤੀ ਗਈ ਸੀ।	N
53	GW1	T7	ਫਲਿੱਕਰ ਦੀ ਗੱਲ ਸੁਣਨ ਵਿਚ ਇਕ ਘੰਟੇ ਤੋਂ ਜ਼ਿਆਦਾ ਸਮਾਂ ਲੱਗਦਾ ਹੈ।	C
54	GW0	T7	ਫਲਿਕਰ ਐਲਬਮ ਨੂੰ ਕਈ ਸਟੂਡੀਓਜ਼ ਵਿੱਚ ਰਿਕਾਰਡ ਕੀਤਾ ਗਿਆ ਸੀ।	E
55	GW0	T7	ਜੂਲੀਅਨ ਬੁਨੇਟਾ ਫਲਿਕਰ ਦੇ ਕਾਰਜਕਾਰੀ ਨਿਰਮਾਤਾ ਸਨ।	N
56	GW0	T7	ਫਲਿਕਰ ਇਕ ਸਾਲ ਤੋਂ ਵੀ ਘੱਟ ਉਮਰ ਦਾ ਹੈ।	C
57	GW8	T8	ਜੈਫਰੀ ਡੈਮਰ ਦਾ ਜਨਮ ਵਿਸਕੌਨਸਿਨ ਵਿੱਚ ਹੋਇਆ ਸੀ।	E
58	GW8	T8	ਉਸ 'ਤੇ ਹਮਲਾ ਕਰਨ ਦਾ ਇਲਜ਼ਾਮ ਲਗਾਇਆ ਗਿਆ ਸੀ।	N
